INFO 2026-07-07 21:27:23,306 autoreload 12292 14908 Watching for file changes with StatReloader
INFO 2026-07-07 21:32:35,790 autoreload 12292 14908 D:\LJ_Sem4\Project\core\settings.py changed, reloading.
INFO 2026-07-07 21:32:37,748 autoreload 18040 23428 Watching for file changes with StatReloader
INFO 2026-07-07 21:36:32,434 autoreload 18040 23428 D:\LJ_Sem4\Project\core\settings.py changed, reloading.
INFO 2026-07-07 21:36:34,267 autoreload 22952 9936 Watching for file changes with StatReloader
WARNING 2026-07-07 21:36:37,075 log 22952 18512 Not Found: /
WARNING 2026-07-07 21:36:37,076 log 22952 18512 "GET / HTTP/1.1" 404 179
INFO 2026-07-07 21:52:49,398 autoreload 22952 9936 D:\LJ_Sem4\Project\core\settings.py changed, reloading.
INFO 2026-07-07 21:52:51,156 autoreload 22628 22828 Watching for file changes with StatReloader
INFO 2026-07-07 22:36:39,691 autoreload 1156 16300 Watching for file changes with StatReloader
WARNING 2026-07-07 22:36:42,643 log 1156 21776 Not Found: /
WARNING 2026-07-07 22:36:42,645 log 1156 21776 "GET / HTTP/1.1" 404 179
INFO 2026-07-08 22:20:56,303 autoreload 7772 21572 Watching for file changes with StatReloader
WARNING 2026-07-08 22:20:59,581 log 7772 22496 Not Found: /
WARNING 2026-07-08 22:20:59,581 log 7772 22496 "GET / HTTP/1.1" 404 179
WARNING 2026-07-08 22:20:59,705 log 7772 22496 Not Found: /favicon.ico
WARNING 2026-07-08 22:20:59,706 log 7772 22496 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2026-07-08 22:21:51,059 log 7772 22496 "GET /admin HTTP/1.1" 301 0
INFO 2026-07-08 22:21:51,079 log 7772 22496 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-07-08 22:21:51,323 log 7772 22496 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
WARNING 2026-07-08 22:21:51,380 log 7772 22496 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:21:51,386 log 7772 10656 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-07-08 22:21:51,387 log 7772 22496 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:21:51,389 log 7772 2828 Not Found: /static/admin/js/theme.js
WARNING 2026-07-08 22:21:51,390 log 7772 10656 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:21:51,392 log 7772 22424 Not Found: /static/admin/css/nav_sidebar.css
INFO 2026-07-08 22:21:51,393 basehttp 7772 10656 - Broken pipe from ('127.0.0.1', 53274)
WARNING 2026-07-08 22:21:51,393 log 7772 2828 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
